id,category,subtype,korean_source,analytic_sentence,native_v2_1_sentence,design_notes
P2-EXT-005,extended-transfer,teach-neg,나는 아이에게 글을 안 가르친다,나-악 아이-디 글 가르치-아 느-몰-온.,나악 아이디 글 가르치아 느몰온.,NEG + extended transfer
P2-EXT-006,extended-transfer,teach-seq,글을 가르치고 간다,나-악 아이-디 글 느-가르치-탄 느-가-온.,나악 아이디 글 느가르치탄 느가온.,SEQ -탄 + extended transfer
P2-MOD-001,modal,can-go,나는 갈 수 있다,나 느-달-가-온.,나 느달가온.,ABIL preverb 달-. DEF+ABIL
P2-MOD-002,modal,can-go-past,나는 갈 수 있었다,나 머-달-가-온.,나 머달가온.,PST+ABIL. tense-modal 중첩
P2-MOD-003,modal,must-go,나는 가야 한다,나 느-바-가-온.,나 느바가온.,OBL preverb 바-. DEF+OBL
P2-MOD-004,modal,must-go-fut,나는 가야 할 것이다,나 차-바-가-온.,나 차바가온.,FUT+OBL
P2-MOD-005,modal,can-see,나는 볼 수 있다,나 느-달-보-온.,나 느달보온.,ABIL + perception verb
P2-MOD-006,modal,cannot-go,나는 갈 수 없다,나 가-아 느-달-몰-온.,나 가아 느달몰온.,NEG+ABIL. connegative 가-아 + 달-몰-
P2-MOD-007,modal,must-eat-cond,먹어야 하면 먹는다,느-바-먹-살 나 느-먹-온.,느바먹살 나 느먹온.,OBL + COND
P2-MOD-008,modal,can-go-yn,너는 갈 수 있느냐,너 느-달-가-언.,너 느달가언.,Y/N.Q + ABIL
P3-REL-001,relative,S-gap-basic,오는 사람이 있다,[느-오-마] 사람 느-있-닌-온.,느오마 사람 느있닌온.,S gap. 사람=자동사S=ABS. ABS pivot: 자유 관계절화
P3-REL-002,relative,S-gap-pst,가 버린 사람을 안다,나 [머-가-칼-마] 사람 느-알-닌-온.,나 머가칼마 사람 느알닌온.,S gap+PST+TEL. -칼-마: 비종결→융합 없음. 피수식 사람=알다의 ABS(theme)
P3-REL-003,relative,S-gap-novel,ㆍ름에서 온 ㅿ울이 있다,[ㆍ름-테 느-오-마] ㅿ울 느-있-닌-온.,ㆍ름테 느오마 ㅿ울 느있닌온.,S gap. 독자음소: ㆍ름(dream/ɵrɯm)+ㅿ울(shadow/zul). ㆍ름-테=LOC(출처)
P3-REL-004,relative,O-gap-basic,내가 보는 사람이 온다,[나-악 느-보-리-마] 사람 느-오-온.,나악 느보리마 사람 느오온.,O gap. 사람=타동사O=ABS. 나-악=ERG in rel. ABS pivot: O 자유 관계절화
P3-REL-005,relative,O-gap-poss,그가 준 책을 갖고 있다,나 [그-악 느-주-마] 책 느-갖-닌-온.,나 그악 느주마 책 느갖닌온.,"O gap. 책=ABS(주-의 theme). 주절: 나=possessor(ABS), 책=possessed(ABS)"
P3-REL-006,relative,O-gap-novel,ㅸ올이 치는 ㅿ울이 크다,[ㅸ올-악 느-치-마] ㅿ울 느-크-닌-온.,ㅸ올악 느치마 ㅿ울 느크닌온.,"O gap. ㅸ올(wave)=ERG, ㅿ울(shadow)=ABS. 치-=hit(신규,타동). 독자음소"
P3-REL-007,relative,A-gap-basic,나에게 책을 주는 사람이 온다,[나-디 책 느-주-마] 사람 느-오-온.,나디 책 느주마 사람 느오온.,A gap. 사람=A(ERG) of 주-. direct gap 전략: ERG 직접 관계절화 허용. syntactically accusative
P3-REL-008,relative,A-gap-eat,밥을 먹는 아이가 있다,[밥 느-먹-리-마] 아이 느-있-닌-온.,밥 느먹리마 아이 느있닌온.,A gap. 아이=A(ERG) of 먹-. 밥=ABS(theme)→gap은 A. 격표지로 gap 위치 비모호
P3-REL-009,relative,A-gap-novel,ㅿ울을 보는 그가 온다,[ㅿ울 느-보-리-마] 그 느-오-온.,ㅿ울 느보리마 그 느오온.,A gap. 그=A(ERG) of 보-. 독자음소 ㅿ울
P3-REL-010,relative,A-gap-ditrans,아이에게 글을 가르치는 사람이 있다,[아이-디 글 느-가르치-리-마] 사람 느-있-닌-온.,아이디 글 느가르치리마 사람 느있닌온.,"A gap in ditransitive. 사람=A(ERG). 아이-디=FRC(recipient), 글=ABS(theme)"
P3-REL-011,relative,rel-fut,올 사람을 안다,나 [차-오-마] 사람 느-알-닌-온.,나 차오마 사람 느알닌온.,FUT in rel clause. 차-오-마=FUT-come-ADN. S gap
P3-REL-012,relative,rel-neg,안 오는 사람이 있다,[오-아 느-몰-마] 사람 느-있-닌-온.,오아 느몰마 사람 느있닌온.,NEG in rel clause. S gap. conneg+NEG.AUX+ADN
P3-REL-013,relative,FRC-gap,내가 책을 준 사람을 안다,나 [나-악 책 느-주-마] 사람 느-알-닌-온.,나 나악 책 느주마 사람 느알닌온.,FRC gap. 사람=recipient of 주-. 책=ABS(theme)으로 gap=FRC 추론. Accessibility Hierarchy 확장
P3-REL-014,relative,LOC-gap,내가 사는 곳에 간다,나 [느-살-닌-마] 곳-레 느-가-온.,나 느살닌마 곳레 느가온.,"LOC gap. 살-=live(stative,신규,-닌- 필수). 곳=place(신규). 곳-레=ALL. 동일주어"
P3-COMP-001,complement,comp-know,비가 오는 것을 안다,나 [비 느-오-모] 느-알-닌-온.,나 비 느오모 느알닌온.,기본 보문. COMP=알-의 ABS(theme)
P3-COMP-002,complement,comp-see-pst,그가 간 것을 보았다,나 [그 머-가-칼-모] 머-보-칼-온.,나 그 머가칼모 머보칸.,PST in both. -칼-모: 비종결→융합없음. 머보칸: -칼-온→융합
P3-COMP-003,complement,comp-topic,그가 오는 것은 안다,[그 느-오-모]=흔 나 느-알-닌-온.,그 느오모흔 나 느알닌온.,COMP + topic =흔. 명사화절의 격표지 결합
P3-COMP-004,complement,comp-percept,아이가 밥을 먹는 것을 보았다,나 [아이-악 밥 느-먹-리-모] 머-보-칼-온.,나 아이악 밥 느먹리모 머보칸.,perception COMP. 내포절에 독립 ERG(아이-악). 나=EXP(ABS) of 보-
P3-COMP-005,complement,comp-want,가는 것을 원한다,나 [느-가-모] 느-원하-리-온.,나 느가모 느원하련.,COMP as argument of 원하-. 동일주어 내포
P3-COMP-006,complement,comp-neg,비가 안 오는 것을 안다,나 [비 오-아 느-몰-모] 느-알-닌-온.,나 비 오아 느몰모 느알닌온.,NEG inside COMP
P3-COMP-007,complement,comp-novel,ㆍ름이 있는 것이 좋다,나 [ㆍ름 느-있-닌-모] 느-좋-닌-온.,나 ㆍ름 느있닌모 느좋닌온.,COMP + experiencer. 독자음소 ㆍ름. 나=EXP(ABS)
P3-COMP-008,complement,comp-fear,가는 것이 두렵다,나 [느-가-모] 느-두렵-닌-온.,나 느가모 느두렵닌온.,COMP as stimulus of 두렵-. 나=EXP(ABS). 동일주어 내포
P3-SEQ-001,sequential,seq-same-subj,밥을 먹고 간다,나-악 밥 느-먹-탄 느-가-온.,나악 밥 느먹탄 느가온.,"동일주어 SEQ. A/S pivot: 나-악(ERG,먹-)→나(S,가-,implicit)"
P3-SEQ-002,sequential,seq-diff-subj,비가 오고 나는 간다,비 느-오-탄 나 느-가-온.,비 느오탄 나 느가온.,다른 주어 SEQ
P3-SEQ-003,sequential,seq-pst,밥을 먹고 갔다,나-악 밥 머-먹-칼-탄 머-가-칼-온.,나악 밥 머먹칼탄 머가칸.,PST+TEL in both. -칼-탄: 융합없음. -칼-온: 융합→칸
P3-SEQ-004,sequential,seq-novel,ㅸ올이 오고 ㅿ울이 간다,ㅸ올 느-오-탄 ㅿ울 느-가-온.,ㅸ올 느오탄 ㅿ울 느가온.,다른주어 SEQ. 독자음소 ㅸ올(wave)+ㅿ울(shadow)
P3-SEQ-005,sequential,seq-three,오고 먹고 간다,나 느-오-탄 나-악 밥 느-먹-탄 느-가-온.,나 느오탄 나악 밥 느먹탄 느가온.,3절 연결. S(ABS)→A(ERG)→S(ABS). A/S pivot 교대 증거
P3-SEQ-006,sequential,seq-caus,먹게 하고 간다,나-악 아이-디 밥 느-먹-모 느-둘-탄 느-가-온.,나악 아이디 밥 느먹모 느둘탄 느가온.,사역 + SEQ. 둘-탄=CAUS-SEQ
P3-SEQ-007,sequential,seq-novel2,ㅿ울이 오고 ㆍ름이 간다,ㅿ울 느-오-탄 ㆍ름 느-가-온.,ㅿ울 느오탄 ㆍ름 느가온.,다른주어 SEQ. 독자음소 ㅿ울+ㆍ름
P3-COND-001,conditional,cond-basic,비가 오면 안 간다,비 느-오-살 나 가-아 느-몰-온.,비 느오살 나 가아 느몰온.,기본 조건 + 주절 부정
P3-COND-002,conditional,cond-modal,갈 수 있으면 간다,나 느-달-가-살 느-가-온.,나 느달가살 느가온.,ABIL + COND. 동일주어
P3-COND-003,conditional,cond-neg,안 오면 간다,비 오-아 느-몰-살 나 느-가-온.,비 오아 느몰살 나 느가온.,NEG in condition clause
P3-COND-004,conditional,cond-counter,왔더라면 먹었을 텐데,그 머-오-살 나-악 밥 머-먹-칼-온.,그 머오살 나악 밥 머먹칸.,반사실. 머-+-살=PST+COND. 잠정 확정
P3-COND-005,conditional,cond-novel,ㅿ울이 있으면 ㅸ올이 온다,ㅿ울 느-있-닌-살 ㅸ올 느-오-온.,ㅿ울 느있닌살 ㅸ올 느오온.,독자음소 + COND
P3-COND-006,conditional,cond-yn,비가 오면 가느냐,비 느-오-살 너 느-가-언.,비 느오살 너 느가언.,COND + Y/N.Q in main clause
P3-RSN-001,reason,rsn-basic,비가 오니까 안 간다,비 느-오-논테 나 가-아 느-몰-온.,비 느오논테 나 가아 느몰온.,기본 이유
P3-RSN-002,reason,rsn-pst,먹었으니까 간다,나-악 밥 머-먹-칼-논테 느-가-온.,나악 밥 머먹칼논테 느가온.,PST+TEL in reason. -칼-논테: 융합없음
P3-RSN-003,reason,rsn-emotion,좋으니까 듣는다,나 음악 느-좋-닌-논테 느-듣-리-온.,나 음악 느좋닌논테 느듣련.,experiencer stative in reason clause
P3-RSN-004,reason,rsn-double-neg,안 왔으니까 모른다,그 오-아 머-몰-논테 나 그것 알-아 느-몰-닌-온.,그 오아 머몰논테 나 그것 알아 느몰닌온.,NEG in reason + NEG in main
P3-RSN-005,reason,rsn-novel,ㆍ름이 있으니까 ㅿ울이 온다,ㆍ름 느-있-닌-논테 ㅿ울 느-오-온.,ㆍ름 느있닌논테 ㅿ울 느오온.,독자음소 + 이유
P3-RSN-006,reason,rsn-standalone,비가 오니까 (답변),비 느-오-논테.,비 느오논테.,이유절 단독 사용. 비종결형 문미 허용 검증. 잠정
P3-RSN-007,reason,rsn-modal,갈 수 있으니까 간다,나 느-달-가-논테 느-가-온.,나 느달가논테 느가온.,ABIL + 이유
P3-CONTR-001,contrastive,contr-basic,비가 오지만 간다,비 느-오-칼라 나 느-가-온.,비 느오칼라 나 느가온.,기본 역접
P3-CONTR-002,contrastive,contr-pst,먹었지만 고프다,머-먹-칼-칼라 나 느-고프-닌-온.,머먹칼칼라 나 느고프닌온.,"PST+TEL + CONTR. 고프-=hungry(stative,신규,-닌- 필수). -칼-칼라: 융합없음"
P3-CONTR-003,contrastive,contr-neg,안 먹지만 간다,나-악 밥 먹-아 느-몰-칼라 느-가-온.,나악 밥 먹아 느몰칼라 느가온.,NEG + CONTR
P3-CONTR-004,contrastive,contr-modal,갈 수 있지만 안 간다,나 느-달-가-칼라 가-아 느-몰-온.,나 느달가칼라 가아 느몰온.,ABIL + CONTR + NEG
P3-CONTR-005,contrastive,contr-novel,ㅸ올이 크지만 ㅿ울이 있다,ㅸ올 느-크-닌-칼라 ㅿ울 느-있-닌-온.,ㅸ올 느크닌칼라 ㅿ울 느있닌온.,독자음소 + CONTR
P3-CONTR-006,contrastive,contr-emotion,싫지만 간다,나 그것 느-싫-닌-칼라 느-가-온.,나 그것 느싫닌칼라 느가온.,experiencer stative + CONTR
P3-CONTR-007,contrastive,contr-hab,늘 오지만 오늘 안 온다,그 느-오-논-칼라 오늘 오-아 느-몰-온.,그 느오논칼라 오늘 오아 느몰온.,HAB + CONTR + NEG. -논-칼라: 융합없음. 오늘=today(신규)
P3-QUOT-001,quotation,quot-decl,'간다'고 말한다,나 [느-가-온]=락 느-말-온.,나 느가온락 느말온.,"평서 인용. =락 on DECL. 말-=자동사, 나=speaker(ABS). =락은 clitic(부가어)"
P3-QUOT-002,quotation,quot-pst,'갔다'고 말했다,나 [머-가-칼-온]=락 머-말-온.,나 머가칸락 머말온.,PST in quote(-칼-온→칸 융합 후 =락) + PST main. 말-=자동사
P3-QUOT-003,quotation,quot-yn,'가느냐'고 물었다,나-악 [느-가-언]=락 머-물-칼-온.,나악 느가언락 머물칸.,"의문 인용. 물-=ask(신규,타동). -언(Y/N.Q) inside quote"
P3-QUOT-004,quotation,quot-wh,'누가 갔느냐'고 물었다,나-악 [누구-악 머-가-칼-연]=락 머-물-칼-온.,나악 누구악 머가칼연락 머물칸.,WH.Q 인용. 누구(신규)-악=who-ERG. -칼-연: Q환경→융합없음
P3-QUOT-005,quotation,quot-imp,'가라'고 말했다,나 [가-라]=락 머-말-온.,나 가라락 머말온.,명령 인용. IMP inside quote. 말-=자동사
P3-QUOT-006,quotation,quot-novel,'ㆍ름이 있다'고 말한다,나 [ㆍ름 느-있-닌-온]=락 느-말-온.,나 ㆍ름 느있닌온락 느말온.,독자음소 + 인용. 말-=자동사
P3-CROSS-001,cross,rel-cond,오는 사람이 있으면 말한다,[느-오-마] 사람 느-있-닌-살 나 느-말-온.,느오마 사람 느있닌살 나 느말온.,"관계절 + 조건. 말-=자동사, 나=S(ABS)"
P3-CROSS-002,cross,comp-contr,그가 가는 것을 알지만 두렵다,나 [그 느-가-모] 느-알-닌-칼라 느-두렵-닌-온.,나 그 느가모 느알닌칼라 느두렵닌온.,보문절 + 역접. 두 절의 EXP(나) 동일
P3-CROSS-003,cross,caus-rsn,먹게 했으니까 간다,나-악 아이-디 밥 느-먹-모 머-둘-칼-논테 느-가-온.,나악 아이디 밥 느먹모 머둘칼논테 느가온.,사역(PST) + 이유. 복합 교차 구조
P3-CROSS-004,cross,rel-rsn,오는 사람이 있으니까 말한다,[느-오-마] 사람 느-있-닌-논테 나 느-말-온.,느오마 사람 느있닌논테 나 느말온.,"관계절 + 이유. 말-=자동사, 나=S(ABS)"
P3-CROSS-005,cross,quot-cond,'비가 오면 안 간다'고 말했다,나 [비 느-오-살 가-아 느-몰-온]=락 머-말-온.,나 비 느오살 가아 느몰온락 머말온.,인용 내부에 조건+부정. 말-=자동사. 3중 embedding
P3-CROSS-006,cross,cond-wh,누가 오면 가느냐,누구 느-오-살 너 느-가-연.,누구 느오살 너 느가연.,조건 + WH.Q. 누구=S(ABS) of 오-
P4-NAR-001,narrative,opening,오늘 일어났다,오늘 나 머-일어나-칼-온.,오늘 나 머일어나칸.,서사 시작. 일어나-=자동(dynamic). PST+TEL
P4-NAR-002,narrative,movement,밖으로 갔다,나 밖-레 머-가-칼-온.,나 밖레 머가칸.,밖=outside(신규). -레=ALL
P4-NAR-003,narrative,description,파도가 컸다,ㅸ올 느-크-닌-온.,ㅸ올 느크닌온.,"독자음소 ㅸ올. 크-=stative, -닌- 필수"
P4-NAR-004,narrative,description,그림자가 파도에 있었다,ㅿ울 ㅸ올-테 느-있-닌-온.,ㅿ울 ㅸ올테 느있닌온.,독자음소 ㅿ울+ㅸ올. LOC(-테)
P4-NAR-005,narrative,perception,그림자를 보았다,나 ㅿ울 머-보-칼-온.,나 ㅿ울 머보칸.,나=EXP(ABS). PST+TEL
P4-NAR-006,narrative,reason,그림자가 크니까 두려웠다,그 ㅿ울 느-크-닌-논테 나 느-두렵-닌-온.,그 ㅿ울 느크닌논테 나 느두렵닌온.,RSN(-논테) + experiencer stative
P4-NAR-007,narrative,contrast,안 가고 있었다,나 가-아 느-몰-칼라 느-있-닌-온.,나 가아 느몰칼라 느있닌온.,NEG + CONTR. 있-=stay
P4-NAR-008,narrative,event,사람이 왔다,사람 머-오-칼-온.,사람 머오칸.,S=ABS. PST+TEL
P4-NAR-009,narrative,quotation-q,그 사람이 내게 '두렵냐'고 물었다,그 사람-악 나-디 [너 느-두렵-닌-언]=락 머-물-칼-온.,그 사람악 나디 너 느두렵닌언락 머물칸.,물-=타동(ask). A=ERG. 나-디=addressee(FRC). =락+Y/N.Q inside quote
P4-NAR-010,narrative,quotation-a,'두렵다'고 말했다,나 [느-두렵-닌-온]=락 머-말-온.,나 느두렵닌온락 머말온.,말-=자동(speak). 나=S(ABS). =락 clitic
P4-NAR-011,narrative,quotation-info,그 사람이 '그림자는 꿈에서 온다'고 말했다,그 사람 [ㅿ울 ㆍ름-테 느-오-온]=락 머-말-온.,그 사람 ㅿ울 ㆍ름테 느오온락 머말온.,"독자음소 ㆍ름+ㅿ울. 말-=자동. quote 내부: S=ABS(ㅿ울), LOC(ㆍ름-테)"
P4-NAR-012,narrative,contrast,알고 있었지만 두려웠다,나 그것 느-알-닌-칼라 느-두렵-닌-온.,나 그것 느알닌칼라 느두렵닌온.,CONTR. 두 절 EXP(나) 동일
P4-NAR-013,narrative,quotation-proh,그 사람이 '두려워 마라'고 말했다,그 사람 [두렵-아 말-라]=락 머-말-온.,그 사람 두렵아 말라락 머말온.,prohibitive(두렵-아 말-라) inside quote. 말-(PROH) ≠ 말-(speak): 구조로 구분
P4-NAR-014,narrative,perception-comp,그 사람이 말한 것을 들었다,나 [그 사람 머-말-칼-모] 머-듣-칼-온.,나 그 사람 머말칼모 머듣칸.,COMP + perception. 말-=자동→COMP 내부 S=그 사람. -칼-모: 비종결→융합없음
P4-NAR-015,narrative,event,그림자가 갔다,ㅿ울 머-가-칼-온.,ㅿ울 머가칸.,S=ABS
P4-NAR-016,narrative,sequential,그 사람이 가고 나도 갔다,그 사람 머-가-칼-탄 나 머-가-칼-온.,그 사람 머가칼탄 나 머가칸.,SEQ. 다른 주어. -칼-탄: 융합없음
P4-NAR-017,narrative,movement,집에 갔다,나 집-레 머-가-칼-온.,나 집레 머가칸.,집=house(신규). -레=ALL
P4-NAR-018,narrative,event,밥을 먹었다,나-악 밥 머-먹-칼-온.,나악 밥 머먹칸.,A=ERG(나-악). 밥=ABS
P4-NAR-019,narrative,emotion,밥이 좋았다,나 밥 느-좋-닌-온.,나 밥 느좋닌온.,EXP(나)>STIM(밥). 2-ABS 어순
P4-NAR-020,narrative,rel-clause,내가 사는 곳에 꿈이 있었다,나 느-살-닌-마 곳-테 ㆍ름 느-있-닌-온.,나 느살닌마 곳테 ㆍ름 느있닌온.,"REL(LOC gap) + 주절. 살-=stative, -닌- 필수"
P4-NAR-021,narrative,perception,그 꿈에서 그림자를 보았다,나 그 ㆍ름-테 ㅿ울 머-보-칼-온.,나 그 ㆍ름테 ㅿ울 머보칸.,ㆍ름-테=LOC. EXP(나)+theme(ㅿ울) 2-ABS
P4-NAR-022,narrative,quotation-proh2,그림자가 '두려워 마라'고 말했다,ㅿ울 [두렵-아 말-라]=락 머-말-온.,ㅿ울 두렵아 말라락 머말온.,ㅿ울=S(ABS) of 말-. prohibitive inside quote
P4-NAR-023,narrative,event,일어났다,나 머-일어나-칼-온.,나 머일어나칸.,PST+TEL
P4-NAR-024,narrative,neg-stative,밖에 파도가 아직 있었다,밖-테 ㅸ올 가-아 머-몰-온.,밖테 ㅸ올 가아 머몰온.,NEG+PST. '파도가 안 갔다'=아직 있다
P4-NAR-025,narrative,neg-emotion,두렵지 않았다,나 두렵-아 느-몰-닌-온.,나 두렵아 느몰닌온.,NEG stative. 두렵-아(conneg)+느-몰-닌-온
P4-NAR-026,narrative,movement,밖으로 갔다,나 밖-레 머-가-칼-온.,나 밖레 머가칸.,반복 동작: 다시 밖으로
P4-NAR-027,narrative,event,파도가 나를 쳤다,ㅸ올-악 나 머-치-칼-온.,ㅸ올악 나 머치칸.,ㅸ올=ERG(A). 나=ABS(O). 치-=타동
